,name,rating,reviews,company_details,salaries,interviews,jobs,benefits,rated_for
2574,Reliance Jio,3.9,18.7k,Telecom | 50k-1 Lakh Employees | Public | 16 years old | Navi Mumbai +1112 more,64.8k,1.1k,181,2.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2575,IBM,4.1,18.6k,Software Product | 50k-1 Lakh Employees | Public | 112 years old | Armonk +137 more,196.9k,1.4k,1.5k,2.7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2576,Larsen & Toubro Limited,4.0,17.4k,Engineering & Construction | 10k-50k Employees | Public | 85 years old | Mumbai +600 more,76.3k,976,207,2.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2577,Reliance Retail,3.9,16.9k,Retail | 1 Lakh+ Employees | 17 years old | Navi Mumbai +933 more,55k,1.1k,263,1.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2578,HDB Financial Services,4.0,16.4k,NBFC | 1 Lakh+ Employees | 16 years old | Ahmedabad +908 more,49.2k,531,108,1.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2579,Teleperformance,3.6,15.9k,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 45 years old | Paris +140 more,74.1k,1.1k,275,1.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2580,TCS,3.8,67.2k,IT Services & Consulting | 1 Lakh+ Employees | Public | 55 years old | Mumbai +302 more,736.6k,5.6k,303,11.3k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2581,Accenture,4.0,42.9k,IT Services & Consulting | 1 Lakh+ Employees | Public | 34 years old | Dublin +154 more,513.6k,4k,4.4k,7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2582,Cognizant,3.9,38.6k,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 29 years old | Teaneck. New Jersey. +126 more,496.6k,3.3k,492,5.8k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2583,Wipro,3.8,35.7k,IT Services & Consulting | 1 Lakh+ Employees | Public | 78 years old | Bangalore/Bengaluru +255 more,371k,3.3k,353,4.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2584,ICICI Bank,4.0,31.1k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1224 more,135.9k,1.7k,216,3.7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2585,HDFC Bank,3.9,30.8k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1462 more,122.3k,1.4k,443,3.2k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2586,Infosys,3.9,29.3k,IT Services & Consulting | 1 Lakh+ Employees | Public | 42 years old | Bengaluru/Bangalore +151 more,412.9k,4.5k,817,5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2587,Capgemini,3.8,27.2k,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Paris +101 more,337k,2.3k,507,3.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2588,Tech Mahindra,3.7,25.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 37 years old | Pune +241 more,236.5k,2.2k,1.1k,3.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2589,HCLTech,3.7,25k,IT Services & Consulting | 1 Lakh+ Employees | Public | 32 years old | Noida +162 more,252.7k,2.3k,647,4k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2590,Genpact,3.9,24.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 26 years old | New York +89 more,176.9k,1.8k,722,3.6k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2591,Axis Bank,3.8,20.4k,Banking | 50k-1 Lakh Employees | Public | 30 years old | Mumbai +1246 more,92.8k,1k,309,2.1k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2592,Concentrix Corporation,3.9,20.2k,BPO | 50k-1 Lakh Employees | Public | 40 years old | Fremont +97 more,100k,1k,124,3.2k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2593,Amazon,4.1,19.4k,Internet | 1 Lakh+ Employees | Public | 29 years old | Seattle +410 more,116.9k,3.2k,686,4.1k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2594,Reliance Jio,3.9,18.7k,Telecom | 50k-1 Lakh Employees | Public | 16 years old | Navi Mumbai +1112 more,64.8k,1.1k,181,2.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2595,IBM,4.1,18.6k,Software Product | 50k-1 Lakh Employees | Public | 112 years old | Armonk +137 more,196.9k,1.4k,1.5k,2.7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2596,Larsen & Toubro Limited,4.0,17.4k,Engineering & Construction | 10k-50k Employees | Public | 85 years old | Mumbai +600 more,76.3k,976,207,2.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2597,Reliance Retail,3.9,16.9k,Retail | 1 Lakh+ Employees | 17 years old | Navi Mumbai +933 more,55k,1.1k,263,1.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2598,HDB Financial Services,4.0,16.4k,NBFC | 1 Lakh+ Employees | 16 years old | Ahmedabad +908 more,49.2k,531,108,1.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2599,Teleperformance,3.6,15.9k,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 45 years old | Paris +140 more,74.1k,1.1k,275,1.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2600,TCS,3.8,67.2k,IT Services & Consulting | 1 Lakh+ Employees | Public | 55 years old | Mumbai +302 more,736.6k,5.6k,303,11.3k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2601,Accenture,4.0,42.9k,IT Services & Consulting | 1 Lakh+ Employees | Public | 34 years old | Dublin +154 more,513.6k,4k,4.4k,7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2602,Cognizant,3.9,38.6k,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 29 years old | Teaneck. New Jersey. +126 more,496.6k,3.3k,492,5.8k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2603,Wipro,3.8,35.7k,IT Services & Consulting | 1 Lakh+ Employees | Public | 78 years old | Bangalore/Bengaluru +255 more,371k,3.3k,353,4.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2604,ICICI Bank,4.0,31.1k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1224 more,135.9k,1.7k,216,3.7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2605,HDFC Bank,3.9,30.8k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1462 more,122.3k,1.4k,443,3.2k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2606,Infosys,3.9,29.3k,IT Services & Consulting | 1 Lakh+ Employees | Public | 42 years old | Bengaluru/Bangalore +151 more,412.9k,4.5k,817,5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2607,Capgemini,3.8,27.2k,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Paris +101 more,337k,2.3k,507,3.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2608,Tech Mahindra,3.7,25.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 37 years old | Pune +241 more,236.5k,2.2k,1.1k,3.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2609,HCLTech,3.7,25k,IT Services & Consulting | 1 Lakh+ Employees | Public | 32 years old | Noida +162 more,252.7k,2.3k,647,4k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2610,Genpact,3.9,24.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 26 years old | New York +89 more,176.9k,1.8k,722,3.6k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2611,Axis Bank,3.8,20.4k,Banking | 50k-1 Lakh Employees | Public | 30 years old | Mumbai +1246 more,92.8k,1k,309,2.1k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2612,Concentrix Corporation,3.9,20.2k,BPO | 50k-1 Lakh Employees | Public | 40 years old | Fremont +97 more,100k,1k,124,3.2k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2613,Amazon,4.1,19.4k,Internet | 1 Lakh+ Employees | Public | 29 years old | Seattle +410 more,116.9k,3.2k,686,4.1k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2614,Reliance Jio,3.9,18.7k,Telecom | 50k-1 Lakh Employees | Public | 16 years old | Navi Mumbai +1112 more,64.8k,1.1k,181,2.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2615,IBM,4.1,18.6k,Software Product | 50k-1 Lakh Employees | Public | 112 years old | Armonk +137 more,196.9k,1.4k,1.5k,2.7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2616,Larsen & Toubro Limited,4.0,17.4k,Engineering & Construction | 10k-50k Employees | Public | 85 years old | Mumbai +600 more,76.3k,976,207,2.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2617,Reliance Retail,3.9,16.9k,Retail | 1 Lakh+ Employees | 17 years old | Navi Mumbai +933 more,55k,1.1k,263,1.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2618,HDB Financial Services,4.0,16.4k,NBFC | 1 Lakh+ Employees | 16 years old | Ahmedabad +908 more,49.2k,531,108,1.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2619,Teleperformance,3.6,15.9k,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 45 years old | Paris +140 more,74.1k,1.1k,275,1.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2620,TCS,3.8,67.2k,IT Services & Consulting | 1 Lakh+ Employees | Public | 55 years old | Mumbai +302 more,736.6k,5.6k,303,11.3k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2621,Accenture,4.0,42.9k,IT Services & Consulting | 1 Lakh+ Employees | Public | 34 years old | Dublin +154 more,513.6k,4k,4.4k,7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2622,Cognizant,3.9,38.6k,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 29 years old | Teaneck. New Jersey. +126 more,496.6k,3.3k,492,5.8k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2623,Wipro,3.8,35.7k,IT Services & Consulting | 1 Lakh+ Employees | Public | 78 years old | Bangalore/Bengaluru +255 more,371k,3.3k,353,4.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2624,ICICI Bank,4.0,31.1k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1224 more,135.9k,1.7k,216,3.7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2625,HDFC Bank,3.9,30.8k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1462 more,122.3k,1.4k,443,3.2k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2626,Infosys,3.9,29.3k,IT Services & Consulting | 1 Lakh+ Employees | Public | 42 years old | Bengaluru/Bangalore +151 more,412.9k,4.5k,817,5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2627,Capgemini,3.8,27.2k,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Paris +101 more,337k,2.3k,507,3.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2628,Tech Mahindra,3.7,25.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 37 years old | Pune +241 more,236.5k,2.2k,1.1k,3.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2629,HCLTech,3.7,25k,IT Services & Consulting | 1 Lakh+ Employees | Public | 32 years old | Noida +162 more,252.7k,2.3k,647,4k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2630,Genpact,3.9,24.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 26 years old | New York +89 more,176.9k,1.8k,722,3.6k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2631,Axis Bank,3.8,20.4k,Banking | 50k-1 Lakh Employees | Public | 30 years old | Mumbai +1246 more,92.8k,1k,309,2.1k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2632,Concentrix Corporation,3.9,20.2k,BPO | 50k-1 Lakh Employees | Public | 40 years old | Fremont +97 more,100k,1k,124,3.2k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2633,Amazon,4.1,19.4k,Internet | 1 Lakh+ Employees | Public | 29 years old | Seattle +410 more,116.9k,3.2k,686,4.1k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2634,Reliance Jio,3.9,18.7k,Telecom | 50k-1 Lakh Employees | Public | 16 years old | Navi Mumbai +1112 more,64.8k,1.1k,181,2.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2635,IBM,4.1,18.6k,Software Product | 50k-1 Lakh Employees | Public | 112 years old | Armonk +137 more,196.9k,1.4k,1.5k,2.7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2636,Larsen & Toubro Limited,4.0,17.4k,Engineering & Construction | 10k-50k Employees | Public | 85 years old | Mumbai +600 more,76.3k,976,207,2.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2637,Reliance Retail,3.9,16.9k,Retail | 1 Lakh+ Employees | 17 years old | Navi Mumbai +933 more,55k,1.1k,263,1.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2638,HDB Financial Services,4.0,16.4k,NBFC | 1 Lakh+ Employees | 16 years old | Ahmedabad +908 more,49.2k,531,108,1.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2639,Teleperformance,3.6,15.9k,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 45 years old | Paris +140 more,74.1k,1.1k,275,1.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2640,TCS,3.8,67.2k,IT Services & Consulting | 1 Lakh+ Employees | Public | 55 years old | Mumbai +302 more,736.6k,5.6k,303,11.3k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
